Imran Farhat,18/02/2001,NZL,Eden Park           ,ODI,c C McMillan b D Tuffey      ,   5, 5.00, 12,41.6666666667,0
Imran Farhat,20/02/2001,NZL,McLean Park         ,ODI,c & b D Tuffey               ,   4, 4.50, 14,28.5714285714,0
Imran Farhat,28/02/2001,NZL,Carisbrook          ,ODI,c D Vettori b C McMillan     ,  33,14.00, 34,97.0588235294,0
Imran Farhat,8/04/2001 ,SRL,Sharjah Stadium     ,ODI,lbw b W Ganegama             ,   6,12.00,  8,75.0,0
Imran Farhat,29/11/2003,NZL,Gaddafi Stadium     ,ODI,c B McCullum b M Mason       ,   0, 9.60,  3,0.0,0
Imran Farhat,1/12/2003 ,NZL,Gaddafi Stadium     ,ODI,c P Hitchcock b D Vettori    ,  68,19.33, 88,77.2727272727,0
Imran Farhat,3/12/2003 ,NZL,Iqbal Stadium       ,ODI,c H Marshall b D Vettori     ,  91,29.57,110,82.7272727273,0
Imran Farhat,5/12/2003 ,NZL,Rawalpindi Stadium  ,ODI,run out                      ,  82,36.13,117,70.0854700855,0
Imran Farhat,7/12/2003 ,NZL,Rawalpindi Stadium  ,ODI,c J Oram b T Canning         , 107,44.00,112,95.5357142857,0
Imran Farhat,3/01/2004 ,NZL,Eden Park           ,ODI,b C Cairns                   ,  24,42.00, 32,75.0,0
Imran Farhat,7/01/2004 ,NZL,Queenstown Centre   ,ODI,c C McMillan b D Vettori     ,  87,46.09,104,83.6538461538,0
Imran Farhat,10/01/2004,NZL,AMI Stadium         ,ODI,c B McCullum b K Mills       ,  17,43.67, 25,68.0,0
Imran Farhat,14/01/2004,NZL,McLean Park         ,ODI,c B McCullum b J Oram        ,  16,41.54, 40,40.0,0
Imran Farhat,17/01/2004,NZL,Westpac Trust Stad  ,ODI,c K Mills b J Oram           ,   8,39.14, 17,47.0588235294,0
Imran Farhat,13/03/2004,IND,National Stadium    ,ODI,c R Dravid b Zaheer Khan     ,  24,38.13, 29,82.7586206897,0
Imran Farhat,17/07/2004,BAN,Sinhalese Sports Gr ,ODI,lbw b Abdur Razzak           ,  28,37.50, 50,56.0,0
Imran Farhat,18/07/2004,HOK,Sinhalese Sports Gr ,ODI,c A French b Khalid Khan     ,  20,36.47, 31,64.5161290323,0
Imran Farhat,28/08/2004,AUS,VRA Ground          ,ODI,c M Hayden b A Symonds       ,  17,35.39, 49,34.693877551,0
Imran Farhat,4/09/2004 ,AUS,Lord's              ,ODI,c B Haddin b B Lee           ,  11,34.11, 16,68.75,0
Imran Farhat,14/09/2004,KEN,Edgbaston           ,ODI,not out                      ,38,36.11, 45,84.4444444444,1
Imran Farhat,19/09/2004,IND,Edgbaston           ,ODI,c R Dravid b I Pathan        ,   0,34.30,  4,0.0,0
Imran Farhat,16/02/2006,IND,Multan Cricket Stad.,ODI,c S Raina b R Singh Jr       ,  14,33.33, 30,46.6666666667,0
Imran Farhat,19/02/2006,IND,National Stadium    ,ODI,c & b S Sreesanth            ,  24,32.91, 33,72.7272727273,0
Imran Farhat,22/03/2006,SRL,Sinhalese Sports Gr ,ODI,st K Sangakkara b T Dilshan  ,  46,33.48, 52,88.4615384615,0
Imran Farhat,18/04/2006,IND,Sheik Zayed Stadium ,ODI,b A Agarkar                  ,  30,33.33, 41,73.1707317073,0
Imran Farhat,19/04/2006,IND,Sheik Zayed Stadium ,ODI,lbw b I Pathan               ,   8,32.32, 19,42.1052631579,0
Imran Farhat,10/09/2006,ENG,Edgbaston           ,ODI,run out                      ,  15,31.65, 40,37.5,0
Imran Farhat,17/10/2006,SRL,Sawai Mansingh Stad ,ODI,c C Fernando b M Muralitharan,  53,32.44, 64,82.8125,0
Imran Farhat,25/10/2006,NZL,Punjab Cricket Stad ,ODI,c K Mills b S Bond           ,   6,31.50, 11,54.5454545455,0
Imran Farhat,27/10/2006,SAF,Punjab Cricket Stad ,ODI,c S Pollock b M Ntini        ,   4,30.55,  8,50.0,0
Imran Farhat,7/12/2006 ,WIN,Iqbal Stadium       ,ODI,c R Morton b C Collymore     ,  17,30.10, 33,51.5151515152,0
Imran Farhat,10/12/2006,WIN,Gaddafi Stadium     ,ODI,c M Samuels b C Collymore    ,  58,31.00, 72,80.5555555556,0
Imran Farhat,13/12/2006,WIN,Multan Cricket Stad.,ODI,c C Gayle b D Powell         ,  13,30.44, 36,36.1111111111,0
Imran Farhat,19/06/2010,IND,Rangiri Dambulla Std,ODI,c V Sehwag b Harbhajan Singh ,  25,30.27, 46,54.347826087,0
Imran Farhat,21/06/2010,BAN,Rangiri Dambulla Std,ODI,b Shakib Al Hasan            ,  66,31.32, 77,85.7142857143,0
Imran Farhat,2/11/2010 ,SAF,Dubai Int. Crkt Std ,ODI,run out                      ,  47,31.77, 86,54.6511627907,0
Imran Farhat,5/11/2010 ,SAF,Dubai Int. Crkt Std ,ODI,lbw b M Morkel               ,   2,30.94,  3,66.6666666667,0
Imran Farhat,8/09/2011 ,ZIM,Queens Sports Club  ,ODI,c T Taibu b C Mpofu          ,   0,30.11,  2,0.0,0
Imran Farhat,11/09/2011,ZIM,Harare Sports Club  ,ODI,not out                      ,75,32.14,106,70.7547169811,1
Imran Farhat,14/09/2011,ZIM,Harare Sports Club  ,ODI,c C Chibhabha b E Chigumbura ,  37,32.26, 45,82.2222222222,0
Imran Farhat,11/11/2011,SRL,Dubai Int. Crkt Std ,ODI,lbw b R Lakmal               ,  50,32.72, 65,76.9230769231,0
